time,open,high,low,close,volume
2021-07-01 12:56:00-04:00,429.5,429.535,429.5,429.535,418
2021-07-01 12:57:00-04:00,429.51,429.51,429.46,429.46,836
2021-07-01 12:58:00-04:00,429.48,429.54,429.46,429.54,688
2021-07-01 12:59:00-04:00,429.53,429.53,429.49,429.49,1367
2021-07-01 13:00:00-04:00,429.47,429.47,429.45,429.455,1290
2021-07-01 13:01:00-04:00,429.45,429.45,429.43,429.45,840
2021-07-01 13:02:00-04:00,429.51,429.51,429.5,429.51,319
2021-07-01 13:03:00-04:00,429.505,429.535,429.505,429.53,601
2021-07-01 13:04:00-04:00,429.53,429.53,429.51,429.51,1135
2021-07-01 13:05:00-04:00,429.505,429.51,429.5,429.5,1189
2021-07-01 13:06:00-04:00,429.51,429.59,429.51,429.59,590
2021-07-01 13:07:00-04:00,429.61,429.64,429.6,429.64,1200
2021-07-01 13:08:00-04:00,429.62,429.63,429.61,429.61,1241
2021-07-01 13:09:00-04:00,429.61,429.69,429.61,429.69,4914
2021-07-01 13:10:00-04:00,429.65,429.65,429.64,429.64,1127
2021-07-01 13:11:00-04:00,429.58,429.6,429.57,429.6,1471
2021-07-01 13:12:00-04:00,429.59,429.62,429.59,429.62,1641
2021-07-01 13:13:00-04:00,429.57,429.59,429.56,429.57,1709
2021-07-01 13:14:00-04:00,429.58,429.59,429.58,429.58,845
2021-07-01 13:15:00-04:00,429.62,429.62,429.62,429.62,1027
2021-07-01 13:16:00-04:00,429.66,429.665,429.62,429.62,939
2021-07-01 13:17:00-04:00,429.62,429.62,429.58,429.61,711
2021-07-01 13:18:00-04:00,429.64,429.655,429.64,429.655,226
2021-07-01 13:19:00-04:00,429.68,429.68,429.61,429.65,2958
2021-07-01 13:20:00-04:00,429.67,429.68,429.67,429.68,715
2021-07-01 13:21:00-04:00,429.69,429.69,429.66,429.66,798
2021-07-01 13:22:00-04:00,429.69,429.695,429.69,429.69,613
2021-07-01 13:23:00-04:00,429.695,429.72,429.69,429.69,932
2021-07-01 13:24:00-04:00,429.69,429.72,429.69,429.71,1399
2021-07-01 13:25:00-04:00,429.73,429.75,429.73,429.73,974
