date,open,high,low,close,volume
2021-09-15 09:30:00,1.0,1.1,0.765,0.915,-1
2021-09-15 09:31:00,0.915,1.01,0.915,0.935,-1
2021-09-15 09:32:00,0.935,1.055,0.93,1.01,-1
2021-09-15 09:33:00,1.01,1.02,0.98,0.99,-1
2021-09-15 09:34:00,0.99,1.0,0.96,1.0,-1
2021-09-15 09:35:00,1.0,1.04,1.0,1.02,-1
2021-09-15 09:36:00,1.02,1.08,1.01,1.075,-1
2021-09-15 09:37:00,1.075,1.135,1.06,1.095,-1
2021-09-15 09:38:00,1.095,1.13,1.09,1.11,-1
2021-09-15 09:39:00,1.11,1.125,1.075,1.09,-1
2021-09-15 09:40:00,1.09,1.095,1.055,1.075,-1
2021-09-15 09:41:00,1.075,1.13,1.075,1.12,-1
2021-09-15 09:42:00,1.12,1.155,1.11,1.155,-1
2021-09-15 09:43:00,1.155,1.155,1.115,1.13,-1
2021-09-15 09:44:00,1.13,1.155,1.115,1.145,-1
2021-09-15 09:45:00,1.145,1.155,1.095,1.1,-1
2021-09-15 09:46:00,1.1,1.115,1.08,1.095,-1
2021-09-15 09:47:00,1.095,1.105,1.085,1.095,-1
2021-09-15 09:48:00,1.095,1.1,1.065,1.1,-1
2021-09-15 09:49:00,1.1,1.11,1.085,1.1,-1
2021-09-15 09:50:00,1.1,1.14,1.095,1.135,-1
2021-09-15 09:51:00,1.135,1.16,1.125,1.145,-1
2021-09-15 09:52:00,1.145,1.195,1.145,1.195,-1
2021-09-15 09:53:00,1.195,1.205,1.175,1.2,-1
2021-09-15 09:54:00,1.2,1.215,1.18,1.215,-1
2021-09-15 09:55:00,1.215,1.225,1.175,1.215,-1
2021-09-15 09:56:00,1.215,1.23,1.195,1.23,-1
2021-09-15 09:57:00,1.23,1.23,1.185,1.19,-1
2021-09-15 09:58:00,1.19,1.19,1.155,1.155,-1
2021-09-15 09:59:00,1.155,1.16,1.14,1.145,-1
2021-09-15 10:00:00,1.145,1.165,1.12,1.16,-1
2021-09-15 10:01:00,1.16,1.2,1.16,1.2,-1
2021-09-15 10:02:00,1.2,1.2,1.155,1.155,-1
2021-09-15 10:03:00,1.155,1.17,1.15,1.17,-1
2021-09-15 10:04:00,1.17,1.18,1.16,1.18,-1
2021-09-15 10:05:00,1.18,1.2,1.18,1.2,-1
2021-09-15 10:06:00,1.2,1.215,1.185,1.21,-1
2021-09-15 10:07:00,1.21,1.22,1.195,1.2,-1
2021-09-15 10:08:00,1.2,1.215,1.185,1.205,-1
2021-09-15 10:09:00,1.205,1.205,1.17,1.175,-1
2021-09-15 10:10:00,1.175,1.18,1.16,1.165,-1
2021-09-15 10:11:00,1.165,1.21,1.165,1.21,-1
2021-09-15 10:12:00,1.21,1.265,1.205,1.25,-1
2021-09-15 10:13:00,1.25,1.29,1.25,1.255,-1
2021-09-15 10:14:00,1.255,1.3,1.25,1.29,-1
2021-09-15 10:15:00,1.29,1.295,1.27,1.27,-1
2021-09-15 10:16:00,1.27,1.29,1.265,1.27,-1
2021-09-15 10:17:00,1.27,1.29,1.265,1.28,-1
2021-09-15 10:18:00,1.28,1.295,1.28,1.29,-1
2021-09-15 10:19:00,1.29,1.315,1.285,1.285,-1
2021-09-15 10:20:00,1.285,1.3,1.25,1.26,-1
2021-09-15 10:21:00,1.26,1.26,1.235,1.26,-1
2021-09-15 10:22:00,1.26,1.265,1.25,1.25,-1
2021-09-15 10:23:00,1.25,1.26,1.24,1.26,-1
2021-09-15 10:24:00,1.26,1.275,1.255,1.265,-1
2021-09-15 10:25:00,1.265,1.265,1.22,1.23,-1
2021-09-15 10:26:00,1.23,1.245,1.21,1.24,-1
2021-09-15 10:27:00,1.24,1.245,1.225,1.23,-1
2021-09-15 10:28:00,1.23,1.25,1.225,1.24,-1
2021-09-15 10:29:00,1.24,1.29,1.24,1.265,-1
2021-09-15 10:30:00,1.265,1.275,1.23,1.24,-1
2021-09-15 10:31:00,1.24,1.25,1.225,1.25,-1
2021-09-15 10:32:00,1.25,1.265,1.24,1.265,-1
2021-09-15 10:33:00,1.265,1.3,1.26,1.28,-1
2021-09-15 10:34:00,1.28,1.29,1.25,1.255,-1
2021-09-15 10:35:00,1.255,1.255,1.205,1.21,-1
2021-09-15 10:36:00,1.21,1.225,1.205,1.205,-1
2021-09-15 10:37:00,1.205,1.21,1.19,1.195,-1
2021-09-15 10:38:00,1.195,1.195,1.175,1.18,-1
2021-09-15 10:39:00,1.18,1.205,1.175,1.2,-1
2021-09-15 10:40:00,1.2,1.215,1.195,1.21,-1
2021-09-15 10:41:00,1.21,1.215,1.185,1.19,-1
2021-09-15 10:42:00,1.19,1.23,1.19,1.225,-1
2021-09-15 10:43:00,1.225,1.245,1.21,1.235,-1
2021-09-15 10:44:00,1.235,1.235,1.22,1.225,-1
2021-09-15 10:45:00,1.225,1.225,1.185,1.185,-1
2021-09-15 10:46:00,1.185,1.205,1.175,1.175,-1
2021-09-15 10:47:00,1.175,1.19,1.17,1.185,-1
2021-09-15 10:48:00,1.185,1.185,1.155,1.16,-1
2021-09-15 10:49:00,1.16,1.175,1.16,1.175,-1
2021-09-15 10:50:00,1.175,1.175,1.155,1.165,-1
2021-09-15 10:51:00,1.165,1.18,1.165,1.17,-1
2021-09-15 10:52:00,1.17,1.17,1.155,1.165,-1
2021-09-15 10:53:00,1.165,1.17,1.15,1.16,-1
2021-09-15 10:54:00,1.16,1.175,1.155,1.175,-1
2021-09-15 10:55:00,1.175,1.185,1.165,1.17,-1
2021-09-15 10:56:00,1.17,1.175,1.145,1.16,-1
2021-09-15 10:57:00,1.16,1.165,1.135,1.135,-1
2021-09-15 10:58:00,1.135,1.14,1.125,1.13,-1
2021-09-15 10:59:00,1.13,1.135,1.125,1.125,-1
2021-09-15 11:00:00,1.125,1.14,1.125,1.13,-1
2021-09-15 11:01:00,1.13,1.15,1.13,1.135,-1
2021-09-15 11:02:00,1.135,1.14,1.125,1.125,-1
2021-09-15 11:03:00,1.125,1.13,1.115,1.115,-1
2021-09-15 11:04:00,1.115,1.12,1.1,1.1,-1
2021-09-15 11:05:00,1.1,1.12,1.1,1.1,-1
2021-09-15 11:06:00,1.1,1.11,1.095,1.105,-1
2021-09-15 11:07:00,1.105,1.12,1.105,1.105,-1
2021-09-15 11:08:00,1.105,1.105,1.085,1.09,-1
2021-09-15 11:09:00,1.09,1.105,1.085,1.105,-1
2021-09-15 11:10:00,1.105,1.11,1.095,1.11,-1
2021-09-15 11:11:00,1.11,1.135,1.105,1.125,-1
2021-09-15 11:12:00,1.125,1.13,1.115,1.125,-1
2021-09-15 11:13:00,1.125,1.135,1.125,1.135,-1
2021-09-15 11:14:00,1.135,1.14,1.125,1.135,-1
2021-09-15 11:15:00,1.135,1.155,1.135,1.155,-1
2021-09-15 11:16:00,1.155,1.155,1.135,1.155,-1
2021-09-15 11:17:00,1.155,1.18,1.155,1.165,-1
2021-09-15 11:18:00,1.165,1.17,1.155,1.165,-1
2021-09-15 11:19:00,1.165,1.165,1.155,1.155,-1
2021-09-15 11:20:00,1.155,1.16,1.135,1.14,-1
2021-09-15 11:21:00,1.14,1.145,1.12,1.12,-1
2021-09-15 11:22:00,1.12,1.13,1.12,1.13,-1
2021-09-15 11:23:00,1.13,1.145,1.125,1.125,-1
2021-09-15 11:24:00,1.125,1.13,1.12,1.12,-1
2021-09-15 11:25:00,1.12,1.135,1.115,1.115,-1
2021-09-15 11:26:00,1.115,1.115,1.1,1.105,-1
2021-09-15 11:27:00,1.105,1.11,1.095,1.105,-1
2021-09-15 11:28:00,1.105,1.13,1.105,1.125,-1
2021-09-15 11:29:00,1.125,1.15,1.125,1.145,-1
2021-09-15 11:30:00,1.145,1.185,1.145,1.185,-1
2021-09-15 11:31:00,1.185,1.19,1.165,1.18,-1
2021-09-15 11:32:00,1.18,1.185,1.165,1.165,-1
2021-09-15 11:33:00,1.165,1.175,1.165,1.165,-1
2021-09-15 11:34:00,1.165,1.17,1.15,1.15,-1
2021-09-15 11:35:00,1.15,1.16,1.15,1.155,-1
2021-09-15 11:36:00,1.155,1.17,1.155,1.17,-1
2021-09-15 11:37:00,1.17,1.175,1.15,1.155,-1
2021-09-15 11:38:00,1.155,1.16,1.145,1.15,-1
2021-09-15 11:39:00,1.15,1.165,1.15,1.155,-1
2021-09-15 11:40:00,1.155,1.16,1.14,1.145,-1
2021-09-15 11:41:00,1.145,1.155,1.145,1.15,-1
2021-09-15 11:42:00,1.15,1.155,1.135,1.135,-1
2021-09-15 11:43:00,1.135,1.14,1.125,1.14,-1
2021-09-15 11:44:00,1.14,1.14,1.125,1.135,-1
2021-09-15 11:45:00,1.135,1.165,1.135,1.165,-1
2021-09-15 11:46:00,1.165,1.165,1.155,1.16,-1
2021-09-15 11:47:00,1.16,1.165,1.155,1.165,-1
2021-09-15 11:48:00,1.165,1.165,1.155,1.165,-1
2021-09-15 11:49:00,1.165,1.165,1.155,1.155,-1
2021-09-15 11:50:00,1.155,1.16,1.155,1.155,-1
2021-09-15 11:51:00,1.155,1.18,1.155,1.17,-1
2021-09-15 11:52:00,1.17,1.18,1.165,1.165,-1
2021-09-15 11:53:00,1.165,1.175,1.165,1.165,-1
2021-09-15 11:54:00,1.165,1.17,1.165,1.17,-1
2021-09-15 11:55:00,1.17,1.175,1.145,1.145,-1
