symbol,time,theta_open,polygon_open,open_diff,theta_close,polygon_close,close_diff,theta_volume,polygon_volume,volume_diff,volume_pct_diff
AMZN,Market Open (09:30),189.45,189.285,0.16499999999999204,189.29,189.62,-0.3300000000000125,10434.0,1018459.0,-1008025.0,-98.9755110416816
AMZN,Early Morning (10:00),190.41,190.37,0.03999999999999204,190.39,190.0,0.38999999999998636,173018.0,237115.0,-64097.0,-27.032030871096303
AMZN,Midday (12:00),184.84,184.66,0.18000000000000682,184.68,184.7009,-0.020899999999983265,120012.0,133204.0,-13192.0,-9.903606498303354
AMZN,Afternoon (14:00),183.84,184.2,-0.3599999999999852,184.22,184.09,0.12999999999999545,113470.0,115343.0,-1873.0,-1.623852336075878
AMZN,Near Close (15:30),183.55,183.86,-0.3100000000000023,183.85,184.08,-0.2300000000000182,145508.0,209911.0,-64403.0,-30.68109817970473
AAPL,Market Open (09:30),224.1,224.37,-0.27000000000001023,224.3,223.84,0.46000000000000796,19381.0,980256.0,-960875.0,-98.0228634152711
AAPL,Early Morning (10:00),224.08,224.24,-0.1599999999999966,224.28,223.875,0.40500000000000114,170671.0,218076.0,-47405.0,-21.737834516407123
AAPL,Midday (12:00),219.9,219.7901,0.10990000000001032,219.79,219.81,-0.020000000000010232,68913.0,70976.0,-2063.0,-2.9066163210099187
AAPL,Afternoon (14:00),218.335,218.62,-0.2849999999999966,218.63,218.5501,0.07990000000000919,84316.0,128014.0,-43698.0,-34.13532894839627
AAPL,Near Close (15:30),217.69,218.05,-0.36000000000001364,218.055,218.145,-0.09000000000000341,114269.0,134358.0,-20089.0,-14.951845070632192
SPY,Market Open (09:30),552.79,552.57,0.2199999999999136,552.51,552.86,-0.35000000000002274,52562.0,861954.0,-809392.0,-93.90199477002254
SPY,Early Morning (10:00),553.96,553.99,-0.029999999999972715,554.005,553.55,0.4550000000000409,117955.0,348200.0,-230245.0,-66.12435381964387
SPY,Midday (12:00),544.91,544.72,0.18999999999994088,544.72,544.79,-0.06999999999993634,110181.0,150680.0,-40499.0,-26.877488717812582
SPY,Afternoon (14:00),541.99,542.54,-0.5499999999999545,542.5599,542.14,0.4198999999999842,263794.0,287580.0,-23786.0,-8.271089783712359
SPY,Near Close (15:30),540.9598,541.46,-0.5002000000000635,541.4793,541.69,-0.21070000000008804,96736.0,162122.0,-65386.0,-40.33135539902049
TSLA,Market Open (09:30),227.45,227.69,-0.2400000000000091,227.5,227.7101,-0.21010000000001128,19194.0,742246.0,-723052.0,-97.41406487875987
TSLA,Early Morning (10:00),229.0348,228.93,0.10479999999998313,228.9317,229.2987,-0.3669999999999902,194448.0,387002.0,-192554.0,-49.755298422230375
TSLA,Midday (12:00),223.04,222.614,0.4259999999999877,222.6206,222.68,-0.05940000000001078,143646.0,193547.0,-49901.0,-25.782368106971433
TSLA,Afternoon (14:00),219.9679,220.245,-0.27710000000001855,220.245,219.9,0.34499999999999886,109558.0,197081.0,-87523.0,-44.40965897270666
TSLA,Near Close (15:30),216.1536,216.45,-0.2963999999999771,216.4532,216.57,-0.11679999999998358,143495.0,149233.0,-5738.0,-3.8449940696762783
PLTR,Market Open (09:30),27.04,27.02,0.019999999999999574,27.01,27.06,-0.04999999999999716,11575.0,507011.0,-495436.0,-97.71701205693762
PLTR,Early Morning (10:00),27.37,27.34,0.030000000000001137,27.36,27.32,0.03999999999999915,24380.0,111023.0,-86643.0,-78.04058618484459
PLTR,Midday (12:00),26.65,26.61,0.03999999999999915,26.6088,26.5816,0.027199999999997004,61095.0,33963.0,27132.0,79.88693578305804
PLTR,Afternoon (14:00),26.1702,26.21,-0.03979999999999961,26.2101,26.1501,0.060000000000002274,72497.0,84328.0,-11831.0,-14.029741011289252
PLTR,Near Close (15:30),26.015,26.05,-0.03500000000000014,26.05,26.055,-0.004999999999999005,40015.0,62957.0,-22942.0,-36.44074527058151
