datetime,portfolio_value,cash,cash_deposits_total,cash_withdrawals_total,cash_adjustments_net_total,cash_financing_enabled,cash_financing_account_mode,cash_financing_credit_total,cash_financing_debit_total,cash_financing_net_total,cash_financing_days_accrued,cash_financing_events,cash_financing_last_credit_rate_used,cash_financing_last_debit_rate_used,positions,cash_deposits_period,cash_withdrawals_period,cash_adjustments_net_period,cash_financing_credit_period,cash_financing_debit_period,cash_financing_net_period,return,cash_adjusted_portfolio_value
2026-04-06 08:30:00-04:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,,100000.0
2026-04-06 09:30:00-04:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2026-04-06 09:30:00-04:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2026-04-06 16:00:00-04:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2026-04-07 08:30:00-04:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2026-04-07 09:30:00-04:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2026-04-07 09:30:00-04:00,99988.1494140625,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.000118505859375,99988.1494140625
2026-04-07 16:00:00-04:00,99988.1494140625,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99988.1494140625
2026-04-08 08:30:00-04:00,100000.0,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.00011851990467815693,100000.0
2026-04-08 09:30:00-04:00,100000.0,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2026-04-08 09:30:00-04:00,100000.0,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2026-04-08 16:00:00-04:00,100000.0,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2026-04-09 08:30:00-04:00,100296.09985351562,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.00296099853515625,100296.09985351562
2026-04-09 09:30:00-04:00,100296.09985351562,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100296.09985351562
2026-04-09 09:30:00-04:00,100296.09985351562,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100296.09985351562
2026-04-09 16:00:00-04:00,100296.09985351562,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100296.09985351562
2026-04-10 08:30:00-04:00,100272.8500366211,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.00023181177462023003,100272.85003662108
2026-04-10 09:30:00-04:00,100272.8500366211,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100272.85003662108
2026-04-10 09:30:00-04:00,100272.8500366211,90150.24963378906,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 15.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100272.85003662108
