provider,pair,timeframe,window,expected,rows,unique_times,missing_expected,extra_times,coverage_pct,first,last,elapsed_s,requests,status,notes
coinbase,BTC/USD,1m,2016-06-18,1440,1425,1425,15,0,98.9583,2016-06-18T00:00:00+00:00,2016-06-18T23:59:00+00:00,1.227,5,ok,
coinbase,BTC/USD,1h,2016-06-18,24,24,24,0,0,100.0,2016-06-18T00:00:00+00:00,2016-06-18T23:00:00+00:00,0.223,1,ok,
coinbase,BTC/USD,1d,2016-06-18,1,1,1,0,0,100.0,2016-06-18T00:00:00+00:00,2016-06-18T00:00:00+00:00,0.203,1,ok,
coinbase,BTC/USD,1m,2020-01-01,1440,1440,1440,0,0,100.0,2020-01-01T00:00:00+00:00,2020-01-01T23:59:00+00:00,1.482,5,ok,
coinbase,BTC/USD,1h,2020-01-01,24,24,24,0,0,100.0,2020-01-01T00:00:00+00:00,2020-01-01T23:00:00+00:00,0.284,1,ok,
coinbase,BTC/USD,1d,2020-01-01,1,1,1,0,0,100.0,2020-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,0.232,1,ok,
coinbase,BTC/USD,1m,2024-01-01,1440,1440,1440,0,0,100.0,2024-01-01T00:00:00+00:00,2024-01-01T23:59:00+00:00,1.267,5,ok,
coinbase,BTC/USD,1h,2024-01-01,24,24,24,0,0,100.0,2024-01-01T00:00:00+00:00,2024-01-01T23:00:00+00:00,0.23,1,ok,
coinbase,BTC/USD,1d,2024-01-01,1,1,1,0,0,100.0,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,0.321,1,ok,
coinbase,BTC/USD,1m,2026-06-18,1440,1440,1440,0,0,100.0,2026-06-18T00:00:00+00:00,2026-06-18T23:59:00+00:00,1.191,5,ok,
coinbase,BTC/USD,1h,2026-06-18,24,24,24,0,0,100.0,2026-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,0.194,1,ok,
coinbase,BTC/USD,1d,2026-06-18,1,1,1,0,0,100.0,2026-06-18T00:00:00+00:00,2026-06-18T00:00:00+00:00,0.257,1,ok,
coinbase,BTC/USD,1d,2016-01-01_to_2026-06-18,3822,3822,3822,0,0,100.0,2016-01-01T00:00:00+00:00,2026-06-18T00:00:00+00:00,3.289,13,ok,
coinbase,BTC/USDT,1m,2016-06-18,1440,0,0,1440,0,0.0,,,1.1,5,ok,
