time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2026-01-05 09:30:00-05:00,buffett,,bt_1,AAPL,buy,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,buffett,,bt_2,JPM,buy,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,buffett,,bt_3,AXP,buy,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,buffett,,bt_1,AAPL,buy,market,fill,270.6400146484375,146.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,buffett,,bt_2,JPM,buy,market,fill,325.5,93.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,buffett,,bt_3,AXP,buy,market,fill,372.29998779296875,54.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,buffett,,bt_4,AAPL,buy,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,buffett,,bt_5,JPM,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,buffett,,bt_6,AXP,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,buffett,,bt_4,AAPL,buy,market,fill,267.0,1.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,buffett,,bt_5,JPM,sell,market,fill,332.6199951171875,1.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,buffett,,bt_6,AXP,sell,market,fill,380.3699951171875,1.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,buffett,,bt_7,AAPL,buy,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,buffett,,bt_7,AAPL,buy,market,fill,263.20001220703125,3.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,buffett,,bt_8,JPM,buy,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,buffett,,bt_8,JPM,buy,market,fill,331.1400146484375,1.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,buffett,,bt_9,AXP,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,buffett,,bt_9,AXP,sell,market,fill,383.8999938964844,6.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
