time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2026-01-05 09:30:00-05:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,buy,new,,JPM,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,buy,new,,AXP,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,buy,fill,146.0,AAPL,stock,,0.0,,270.6400146484375,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,buy,fill,93.0,JPM,stock,,0.0,,325.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,buy,fill,54.0,AXP,stock,,0.0,,372.29998779296875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,sell,new,,JPM,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,sell,new,,AXP,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,buy,fill,1.0,AAPL,stock,,0.0,,267.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,sell,fill,1.0,JPM,stock,,0.0,,332.6199951171875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,sell,fill,1.0,AXP,stock,,0.0,,380.3699951171875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,buy,fill,3.0,AAPL,stock,,0.0,,263.20001220703125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,buy,new,,JPM,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,buy,fill,1.0,JPM,stock,,0.0,,331.1400146484375,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,sell,new,,AXP,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,sell,fill,6.0,AXP,stock,,0.0,,383.8999938964844,market,1,0.0,0.0,trade,,,,,,,,,,,,
