Metric,SPY,Strategy
Risk-Free Rate,3.57%,3.57%
Time in Market,34.0%,50.0%
,,
Total Return,1%,-3%
CAGR% (Annual Return),48.66%,-85.78%
,,
Sharpe,7.56,-6.24
RoMaD,-,-32.56
Corr to Benchmark,1.0,-0.75
Prob. Sharpe Ratio,98.7%,18.44%
Smart Sharpe,5.83,-4.82
Sortino,197.38,-7.05
Smart Sortino,152.31,-5.44
Sortino/√2,139.57,-4.99
Smart Sortino/√2,107.7,-3.85
Omega,13.65,0.33
,,
Max Drawdown,-,-2.63%
Longest DD Days,-,-
Volatility (ann.),3.91%,26.07%
R^2,0.57,0.57
Information Ratio,-0.35,-0.35
Calmar,-,-32.56
Skew,2.42,-0.65
Kurtosis,5.89,0.59
,,
Expected Daily%,0.09%,-0.44%
Expected Monthly%,0.54%,-2.63%
Expected Yearly%,0.54%,-2.63%
Daily Value-at-Risk,-0.25%,-2.68%
Expected Shortfall (cVaR),-0.25%,-2.68%
,,
MTD,0.54%,-2.63%
3M,0.54%,-2.63%
6M,0.54%,-2.63%
YTD,0.54%,-2.63%
1Y,0.54%,-2.63%
3Y (ann.),48.66%,-85.78%
5Y (ann.),48.66%,-85.78%
10Y (ann.),48.66%,-85.78%
All-time (ann.),48.66%,-85.78%
,,
Best Day,0.51%,1.33%
Worst Day,0.0%,-2.63%
Best Month,0.54%,-2.63%
Worst 1-Month Return,0.54%,-2.63%
Best Year,0.54%,-2.63%
Worst Year,0.54%,-2.63%
,,
Avg. Drawdown,-,-1.98%
Avg. Drawdown Days,-,-
Recovery Factor,-,0.99
Ulcer Index,0.0,0.01
Serenity Index,-,-2.43
Annualized Return on Risk Capital,-,"-6,083.33%"
Worst 3-Month Return,-,-
Time to Recovery (Days),0,0
5th Percentile Tail Loss,0.0%,-2.31%
Time Underwater (Days),0,2
Percent Positive Months,100.0,0.0
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,6.0,2.0
Loss Days,0.0,4.0
Win Days%,100.0%,33.33%
Win Month%,100.0%,0.0%
Win Quarter%,100.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,-5.01
Alpha,-,0.07
Correlation,-,-75.27%
Treynor Ratio,-,1.24%
