Metric,SPY,Strategy
Risk-Free Rate,3.56%,3.56%
Time in Market,67.0%,67.0%
,,
Total Return,1%,-3%
CAGR% (Annual Return),24.3%,-67.56%
,,
Sharpe,2.59,-5.69
RoMaD,35.19,-20.02
Corr to Benchmark,1.0,-0.03
Prob. Sharpe Ratio,67.18%,11.36%
Smart Sharpe,1.24,-2.71
Sortino,4.73,-6.27
Smart Sortino,2.26,-2.99
Sortino/√2,3.35,-4.43
Smart Sortino/√2,1.6,-2.12
Omega,1.5,0.4
,,
Max Drawdown,-0.69%,-3.37%
Longest DD Days,3,10
Volatility (ann.),6.41%,18.44%
R^2,0.0,0.0
Information Ratio,-0.32,-0.32
Calmar,35.19,-20.02
Skew,0.45,-0.65
Kurtosis,0.14,-0.13
,,
Expected Daily%,0.05%,-0.28%
Expected Monthly%,0.66%,-3.33%
Expected Yearly%,0.66%,-3.33%
Daily Value-at-Risk,-0.5%,-1.87%
Expected Shortfall (cVaR),-0.5%,-2.09%
,,
MTD,0.66%,-3.33%
3M,0.66%,-3.33%
6M,0.66%,-3.33%
YTD,0.66%,-3.33%
1Y,0.66%,-3.33%
3Y (ann.),24.3%,-67.56%
5Y (ann.),24.3%,-67.56%
10Y (ann.),24.3%,-67.56%
All-time (ann.),24.3%,-67.56%
,,
Best Day,0.66%,1.05%
Worst Day,-0.49%,-2.09%
Best Month,0.66%,-3.33%
Worst 1-Month Return,0.66%,-3.33%
Best Year,0.66%,-3.33%
Worst Year,0.66%,-3.33%
,,
Avg. Drawdown,-0.51%,-3.37%
Avg. Drawdown Days,2,10
Recovery Factor,0.96,0.99
Ulcer Index,0.0,0.02
Serenity Index,-4.9,-0.99
Annualized Return on Risk Capital,"2,895.24%","-3,004.62%"
Worst 3-Month Return,-,-
Time to Recovery (Days),1,2
5th Percentile Tail Loss,-0.4%,-1.92%
Time Underwater (Days),5,10
Percent Positive Months,100.0,0.0
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,6.0,4.5
Loss Days,6.0,7.5
Win Days%,50.0%,37.5%
Win Month%,100.0%,0.0%
Win Quarter%,100.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,-0.08
Alpha,-,-1.0
Correlation,-,-2.63%
Treynor Ratio,-,91.19%
