time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2026-01-06 09:30:00-05:00,leveraged-etf-long,,bt_1,SQQQ,buy,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-06 09:30:00-05:00,leveraged-etf-long,,bt_1,SQQQ,buy,market,fill,67.0,747.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,leveraged-etf-long,,bt_2,SQQQ,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,leveraged-etf-long,,bt_2,SQQQ,sell,market,fill,65.76000213623047,747.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,leveraged-etf-long,,bt_3,UPRO,buy,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,leveraged-etf-long,,bt_3,UPRO,buy,market,fill,120.83999633789062,421.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,leveraged-etf-long,,bt_4,UPRO,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,leveraged-etf-long,,bt_4,UPRO,sell,market,fill,119.87000274658203,421.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,leveraged-etf-long,,bt_5,SPXU,buy,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,leveraged-etf-long,,bt_5,SPXU,buy,market,fill,48.0099983215332,1027.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,leveraged-etf-long,,bt_6,SPXU,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,leveraged-etf-long,,bt_6,SPXU,sell,market,fill,47.040000915527344,1027.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,leveraged-etf-long,,bt_7,UPRO,buy,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,leveraged-etf-long,,bt_7,UPRO,buy,market,fill,122.41000366210938,411.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,leveraged-etf-long,,bt_8,UPRO,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,leveraged-etf-long,,bt_8,UPRO,sell,market,fill,119.97000122070312,411.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,leveraged-etf-long,,bt_9,UPRO,buy,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,leveraged-etf-long,,bt_9,UPRO,buy,market,fill,119.97000122070312,398.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
