Metric,SPY,Strategy
Risk-Free Rate,3.51%,3.51%
Time in Market,50.0%,75.0%
,,
Total Return,0%,-1%
CAGR% (Annual Return),38.94%,-67.68%
,,
Sharpe,2.93,-13.32
RoMaD,120.79,-66.94
Corr to Benchmark,1.0,0.18
Prob. Sharpe Ratio,60.73%,0.7%
Smart Sharpe,1.79,-8.14
Sortino,6.75,-12.04
Smart Sortino,4.12,-7.36
Sortino/√2,4.77,-8.52
Smart Sortino/√2,2.92,-5.2
Omega,1.67,0.08
,,
Max Drawdown,-0.32%,-1.01%
Longest DD Days,1,2
Volatility (ann.),7.31%,6.6%
R^2,0.03,0.03
Information Ratio,-0.64,-0.64
Calmar,120.79,-66.94
Skew,1.02,-0.62
Kurtosis,2.09,-2.02
,,
Expected Daily%,0.07%,-0.23%
Expected Monthly%,0.27%,-0.92%
Expected Yearly%,0.27%,-0.92%
Daily Value-at-Risk,-0.56%,-0.8%
Expected Shortfall (cVaR),-0.56%,-0.8%
,,
MTD,0.27%,-0.92%
3M,0.27%,-0.92%
6M,0.27%,-0.92%
YTD,0.27%,-0.92%
1Y,0.27%,-0.92%
3Y (ann.),38.94%,-67.68%
5Y (ann.),38.94%,-67.68%
10Y (ann.),38.94%,-67.68%
All-time (ann.),38.94%,-67.68%
,,
Best Day,0.59%,0.09%
Worst Day,-0.32%,-0.67%
Best Month,0.27%,-0.92%
Worst 1-Month Return,0.27%,-0.92%
Best Year,0.27%,-0.92%
Worst Year,0.27%,-0.92%
,,
Avg. Drawdown,-0.32%,-1.01%
Avg. Drawdown Days,1,2
Recovery Factor,0.85,0.91
Ulcer Index,0.0,0.01
Serenity Index,-19.23,-2.21
Annualized Return on Risk Capital,"7,656.51%","-8,334.38%"
Worst 3-Month Return,-,-
Time to Recovery (Days),0,0
5th Percentile Tail Loss,-0.27%,-0.62%
Time Underwater (Days),1,2
Percent Positive Months,100.0,0.0
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,2.0,1.33
Loss Days,2.0,2.67
Win Days%,50.0%,33.33%
Win Month%,100.0%,0.0%
Win Quarter%,100.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,0.16
Alpha,-,-0.88
Correlation,-,17.75%
Treynor Ratio,-,-27.66%
