Metric,SPY,Strategy
Risk-Free Rate,3.71%,3.71%
Time in Market,67.0%,67.0%
,,
Total Return,2%,1%
CAGR% (Annual Return),340.25%,148.97%
,,
Sharpe,8.24,7.86
RoMaD,964.77,474.34
Corr to Benchmark,1.0,0.78
Prob. Sharpe Ratio,95.18%,89.95%
Smart Sharpe,6.88,6.56
Sortino,58.45,31.44
Smart Sortino,48.78,26.24
Sortino/√2,41.33,22.23
Smart Sortino/√2,34.49,18.55
Omega,6.06,4.38
,,
Max Drawdown,-0.35%,-0.31%
Longest DD Days,2,2
Volatility (ann.),14.67%,9.25%
R^2,0.61,0.61
Information Ratio,-0.27,-0.27
Calmar,964.77,474.34
Skew,1.8,1.16
Kurtosis,3.05,0.56
,,
Expected Daily%,0.34%,0.21%
Expected Monthly%,2.05%,1.26%
Expected Yearly%,2.05%,1.26%
Daily Value-at-Risk,-0.92%,-0.59%
Expected Shortfall (cVaR),-0.92%,-0.59%
,,
MTD,2.05%,1.26%
3M,2.05%,1.26%
6M,2.05%,1.26%
YTD,2.05%,1.26%
1Y,2.05%,1.26%
3Y (ann.),340.25%,148.97%
5Y (ann.),340.25%,148.97%
10Y (ann.),340.25%,148.97%
All-time (ann.),340.25%,148.97%
,,
Best Day,1.79%,1.03%
Worst Day,-0.19%,-0.28%
Best Month,2.05%,1.26%
Worst 1-Month Return,2.05%,1.26%
Best Year,2.05%,1.26%
Worst Year,2.05%,1.26%
,,
Avg. Drawdown,-0.35%,-0.31%
Avg. Drawdown Days,2,2
Recovery Factor,5.8,4.0
Ulcer Index,0.0,0.0
Serenity Index,-20.13,-17.75
Annualized Return on Risk Capital,"35,355.68%","24,338.98%"
Worst 3-Month Return,-,-
Time to Recovery (Days),0,0
5th Percentile Tail Loss,-0.18%,-0.22%
Time Underwater (Days),2,2
Percent Positive Months,100.0,100.0
,,
Avg. Up Month,2.05%,1.26%
Avg. Down Month,-,-
Win Days,3.0,3.0
Loss Days,3.0,3.0
Win Days%,50.0%,50.0%
Win Month%,100.0%,100.0%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.49
Alpha,-,0.15
Correlation,-,77.86%
Treynor Ratio,-,-5.0%
