time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2026-08-03 09:55:00-04:00,alpaca_env_orb_2026,,bt_1,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-03 09:55:00-04:00,alpaca_env_orb_2026,,bt_1,SPY,buy,market,fill,752.765,10.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-03 15:50:00-04:00,alpaca_env_orb_2026,,bt_2,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-03 15:50:00-04:00,alpaca_env_orb_2026,,bt_2,SPY,sell,market,fill,758.15,10.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-04 09:50:00-04:00,alpaca_env_orb_2026,,bt_3,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-04 09:50:00-04:00,alpaca_env_orb_2026,,bt_3,SPY,buy,market,fill,762.54,10.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-04 15:50:00-04:00,alpaca_env_orb_2026,,bt_4,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-04 15:50:00-04:00,alpaca_env_orb_2026,,bt_4,SPY,sell,market,fill,772.91,10.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-06 09:50:00-04:00,alpaca_env_orb_2026,,bt_5,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-06 09:50:00-04:00,alpaca_env_orb_2026,,bt_5,SPY,buy,market,fill,771.31,10.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-06 15:50:00-04:00,alpaca_env_orb_2026,,bt_6,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-06 15:50:00-04:00,alpaca_env_orb_2026,,bt_6,SPY,sell,market,fill,768.43,10.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-07 10:30:00-04:00,alpaca_env_orb_2026,,bt_7,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-07 10:30:00-04:00,alpaca_env_orb_2026,,bt_7,SPY,buy,market,fill,773.16,10.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-07 15:50:00-04:00,alpaca_env_orb_2026,,bt_8,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-08-07 15:50:00-04:00,alpaca_env_orb_2026,,bt_8,SPY,sell,market,fill,772.85,10.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
