time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-03-04 09:35:00-05:00,buy_to_open,new,,SPY,option,CALL,512.0,2024-03-11,,market,100,,0.0,trade,,,,,,,,,,,,
2024-03-04 09:35:00-05:00,buy_to_open,fill,1.0,SPY,option,CALL,512.0,2024-03-11,3.47,market,100,0.0,0.0,trade,,,,,,,,,,,,
2024-03-08 15:30:00-05:00,sell_to_close,new,,SPY,option,CALL,512.0,2024-03-11,,market,100,,0.0,trade,,,,,,,,,,,,
2024-03-08 15:30:00-05:00,sell_to_close,fill,1.0,SPY,option,CALL,512.0,2024-03-11,1.56,market,100,0.0,0.0,trade,,,,,,,,,,,,
2024-03-11 09:35:00-04:00,buy_to_open,new,,SPY,option,CALL,510.0,2024-03-18,,market,100,,0.0,trade,,,,,,,,,,,,
2024-03-11 09:35:00-04:00,buy_to_open,fill,1.0,SPY,option,CALL,510.0,2024-03-18,4.07,market,100,0.0,0.0,trade,,,,,,,,,,,,
2024-03-15 15:30:00-04:00,sell_to_close,new,,SPY,option,CALL,510.0,2024-03-18,,market,100,,0.0,trade,,,,,,,,,,,,
2024-03-15 15:30:00-04:00,sell_to_close,fill,1.0,SPY,option,CALL,510.0,2024-03-18,1.76,market,100,0.0,0.0,trade,,,,,,,,,,,,
2024-03-18 09:35:00-04:00,buy_to_open,new,,SPY,option,CALL,515.0,2024-03-25,,market,100,,0.0,trade,,,,,,,,,,,,
2024-03-18 09:35:00-04:00,buy_to_open,fill,1.0,SPY,option,CALL,515.0,2024-03-25,4.11,market,100,0.0,0.0,trade,,,,,,,,,,,,
2024-03-22 15:30:00-04:00,sell_to_close,new,,SPY,option,CALL,515.0,2024-03-25,,market,100,,0.0,trade,,,,,,,,,,,,
2024-03-22 15:30:00-04:00,sell_to_close,fill,1.0,SPY,option,CALL,515.0,2024-03-25,6.83,market,100,0.0,0.0,trade,,,,,,,,,,,,
