time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2026-07-27 09:35:00-04:00,alpaca_spy_weekly_call_2026,,bt_1,SPY,buy_to_open,market,new,,,1,,0.0,gtc,CALL,745.0,100,2026-08-03,option,,trade,,,,,,,,,,,,
2026-07-27 09:35:00-04:00,alpaca_spy_weekly_call_2026,,bt_1,SPY,buy_to_open,market,fill,6.1,1.0,100,0.0,0.0,gtc,CALL,745.0,100,2026-08-03,option,,trade,,,,,,,,,,,,
2026-07-31 15:30:00-04:00,alpaca_spy_weekly_call_2026,,bt_2,SPY,sell_to_close,market,new,,,1,,0.0,gtc,CALL,745.0,100,2026-08-03,option,,trade,,,,,,,,,,,,
2026-07-31 15:30:00-04:00,alpaca_spy_weekly_call_2026,,bt_2,SPY,sell_to_close,market,fill,3.74,1.0,100,0.0,0.0,gtc,CALL,745.0,100,2026-08-03,option,,trade,,,,,,,,,,,,
2026-08-03 09:35:00-04:00,alpaca_spy_weekly_call_2026,,bt_3,SPY,buy_to_open,market,new,,,1,,0.0,gtc,CALL,751.0,100,2026-08-10,option,,trade,,,,,,,,,,,,
2026-08-03 09:35:00-04:00,alpaca_spy_weekly_call_2026,,bt_3,SPY,buy_to_open,market,fill,4.99,1.0,100,0.0,0.0,gtc,CALL,751.0,100,2026-08-10,option,,trade,,,,,,,,,,,,
2026-08-07 15:30:00-04:00,alpaca_spy_weekly_call_2026,,bt_4,SPY,sell_to_close,market,new,,,1,,0.0,gtc,CALL,751.0,100,2026-08-10,option,,trade,,,,,,,,,,,,
2026-08-07 15:39:00-04:00,alpaca_spy_weekly_call_2026,,bt_4,SPY,sell_to_close,market,fill,21.91,1.0,100,0.0,0.0,gtc,CALL,751.0,100,2026-08-10,option,,trade,,,,,,,,,,,,
2026-08-10 09:35:00-04:00,alpaca_spy_weekly_call_2026,,bt_5,SPY,buy_to_open,market,new,,,1,,0.0,gtc,CALL,773.0,100,2026-08-17,option,,trade,,,,,,,,,,,,
2026-08-10 09:37:00-04:00,alpaca_spy_weekly_call_2026,,bt_5,SPY,buy_to_open,market,fill,4.97,1.0,100,0.0,0.0,gtc,CALL,773.0,100,2026-08-17,option,,trade,,,,,,,,,,,,
2026-08-14 15:30:00-04:00,alpaca_spy_weekly_call_2026,,bt_6,SPY,sell_to_close,market,new,,,1,,0.0,gtc,CALL,773.0,100,2026-08-17,option,,trade,,,,,,,,,,,,
2026-08-14 15:31:00-04:00,alpaca_spy_weekly_call_2026,,bt_6,SPY,sell_to_close,market,fill,3.86,1.0,100,0.0,0.0,gtc,CALL,773.0,100,2026-08-17,option,,trade,,,,,,,,,,,,
