time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2026-01-05 09:30:00-05:00,sell_to_open,new,,SPY,option,PUT,580.0,2026-02-20,,market,100,,0.0,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,buy_to_open,new,,SPY,option,PUT,575.0,2026-02-20,,market,100,,0.0,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,sell_to_open,new,,SPY,multileg,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,sell_to_open,fill,1.0,SPY,option,PUT,580.0,2026-02-20,0.77,market,100,0.0,0.0,trade,,,,,,,,,,,,
2026-01-05 09:30:00-05:00,buy_to_open,fill,1.0,SPY,option,PUT,575.0,2026-02-20,0.69,market,100,0.0,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,buy_to_close,new,,SPY,option,PUT,580.0,2026-02-20,,market,100,,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,sell_to_close,new,,SPY,option,PUT,575.0,2026-02-20,,market,100,,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,buy_to_close,new,,SPY,multileg,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,buy_to_close,fill,1.0,SPY,option,PUT,580.0,2026-02-20,0.65,market,100,0.0,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,sell_to_close,fill,1.0,SPY,option,PUT,575.0,2026-02-20,0.63,market,100,0.0,0.0,trade,,,,,,,,,,,,
