time,open,high,low,close,volume
2020-01-02 09:20:00-05:00,71.2,71.2,71.19,71.19,400
2020-01-02 09:29:00-05:00,71.07,71.07,71.02,71.02,1400
2020-01-02 09:30:00-05:00,71.08,71.1,71.08,71.1,700
2020-01-02 09:35:00-05:00,71.25,71.25,71.25,71.25,200
2020-01-02 09:42:00-05:00,71.23,71.25,71.23,71.25,200
2020-01-02 09:43:00-05:00,71.27,71.27,71.27,71.27,100
2020-01-02 09:46:00-05:00,71.33,71.33,71.33,71.33,100
2020-01-02 09:48:00-05:00,71.27,71.27,71.27,71.27,215
2020-01-02 10:02:00-05:00,71.06,71.06,71.06,71.06,100
2020-01-02 10:13:00-05:00,70.88,70.88,70.88,70.88,200
2020-01-02 10:14:00-05:00,70.77,70.78,70.77,70.78,700
2020-01-02 10:15:00-05:00,70.56,70.56,70.56,70.56,100
2020-01-02 10:16:00-05:00,70.58,70.66,70.58,70.62,1400
2020-01-02 10:27:00-05:00,70.59,70.59,70.59,70.59,100
2020-01-02 10:28:00-05:00,70.59,70.59,70.59,70.59,100
2020-01-02 10:31:00-05:00,70.61,70.61,70.57,70.57,300
2020-01-02 10:35:00-05:00,70.64,70.64,70.64,70.64,100
2020-01-02 10:38:00-05:00,70.48,70.48,70.48,70.48,200
2020-01-02 10:40:00-05:00,70.51,70.51,70.51,70.51,100
2020-01-02 10:43:00-05:00,70.62,70.62,70.62,70.62,100
2020-01-02 10:45:00-05:00,70.64,70.64,70.64,70.64,210
2020-01-02 10:48:00-05:00,70.48,70.48,70.48,70.48,300
2020-01-02 10:55:00-05:00,70.72,70.74,70.72,70.74,600
2020-01-02 10:57:00-05:00,70.75,70.81,70.75,70.81,500
2020-01-02 11:00:00-05:00,70.9,70.9,70.9,70.9,100
2020-01-02 11:02:00-05:00,70.84,70.84,70.84,70.84,100
2020-01-02 11:05:00-05:00,70.81,70.81,70.81,70.81,100
2020-01-02 11:06:00-05:00,70.87,70.87,70.87,70.87,100
2020-01-02 11:07:00-05:00,70.87,70.87,70.87,70.87,100
2020-01-02 11:10:00-05:00,70.88,70.88,70.88,70.88,100
2020-01-02 11:14:00-05:00,70.92,70.92,70.92,70.92,100
2020-01-02 11:15:00-05:00,70.89,70.89,70.89,70.89,200
2020-01-02 11:18:00-05:00,70.82,70.82,70.82,70.82,100
2020-01-02 11:19:00-05:00,70.83,70.83,70.82,70.82,900
2020-01-02 11:24:00-05:00,70.89,70.89,70.89,70.89,100
2020-01-02 11:29:00-05:00,70.81,70.81,70.81,70.81,100
2020-01-02 11:34:00-05:00,70.61,70.61,70.54,70.54,801
2020-01-02 11:36:00-05:00,70.43,70.43,70.43,70.43,100
2020-01-02 12:48:00-05:00,70.9,70.9,70.9,70.9,700
2020-01-02 13:02:00-05:00,70.79,70.79,70.79,70.79,100
2020-01-02 13:05:00-05:00,70.82,70.82,70.82,70.82,100
2020-01-02 13:27:00-05:00,70.75,70.75,70.75,70.75,700
2020-01-02 13:33:00-05:00,70.75,70.75,70.75,70.75,100
2020-01-02 13:35:00-05:00,70.71,70.71,70.71,70.71,100
2020-01-02 13:36:00-05:00,70.69,70.69,70.69,70.69,100
2020-01-02 13:44:00-05:00,70.67,70.67,70.66,70.67,1500
2020-01-02 13:48:00-05:00,70.8,70.8,70.8,70.8,100
2020-01-02 13:49:00-05:00,70.79,70.79,70.79,70.79,200
2020-01-02 13:57:00-05:00,70.77,70.77,70.77,70.77,100
2020-01-02 13:58:00-05:00,70.76,70.76,70.76,70.76,100
2020-01-02 14:04:00-05:00,70.86,70.86,70.86,70.86,800
2020-01-02 14:09:00-05:00,70.875,70.875,70.86,70.865,1300
2020-01-02 14:17:00-05:00,70.88,70.88,70.88,70.88,966
2020-01-02 14:32:00-05:00,71.03,71.03,71.03,71.03,100
2020-01-02 14:45:00-05:00,71.21,71.21,71.21,71.21,230
2020-01-02 14:47:00-05:00,71.18,71.18,71.18,71.18,100
2020-01-02 14:50:00-05:00,71.21,71.21,71.21,71.21,100
2020-01-02 14:51:00-05:00,71.24,71.24,71.24,71.24,100
2020-01-02 14:53:00-05:00,71.23,71.23,71.23,71.23,100
2020-01-02 15:00:00-05:00,71.24,71.24,71.24,71.24,100
2020-01-02 15:09:00-05:00,71.17,71.17,71.17,71.17,700
2020-01-02 15:13:00-05:00,71.28,71.28,71.28,71.28,100
2020-01-02 15:44:00-05:00,71.41,71.42,71.41,71.42,400
2020-01-02 15:47:00-05:00,71.44,71.44,71.44,71.44,100
2020-01-02 15:48:00-05:00,71.42,71.42,71.42,71.42,700
2020-01-02 15:50:00-05:00,71.48,71.51,71.48,71.51,803
2020-01-02 15:53:00-05:00,71.6,71.6,71.6,71.6,100
2020-01-02 15:54:00-05:00,71.62,71.66,71.62,71.66,699
2020-01-02 15:55:00-05:00,71.71,71.72,71.71,71.72,200
2020-01-02 15:57:00-05:00,71.78,71.78,71.75,71.75,200
2020-01-02 15:58:00-05:00,71.74,71.77,71.73,71.77,1199
2020-01-02 15:59:00-05:00,71.77,71.89,71.71,71.89,2174
2020-01-02 16:11:00-05:00,71.93,71.93,71.93,71.93,900
2020-01-03 08:54:00-05:00,69.95,69.95,69.95,69.95,200
2020-01-03 09:29:00-05:00,69.43,69.43,69.41,69.41,715
2020-01-03 09:30:00-05:00,69.43,69.76,69.43,69.76,3028
2020-01-03 09:31:00-05:00,69.78,70.03,69.78,70.03,5670
2020-01-03 09:32:00-05:00,70.03,70.16,70.0,70.16,4000
2020-01-03 09:35:00-05:00,70.42,70.42,70.21,70.22,1700
2020-01-03 09:39:00-05:00,70.27,70.33,70.27,70.33,300
2020-01-03 09:48:00-05:00,70.5,70.5,70.5,70.5,100
2020-01-03 09:50:00-05:00,70.56,70.6,70.56,70.6,200
2020-01-03 10:00:00-05:00,70.27,70.27,70.11,70.27,6110
2020-01-03 10:01:00-05:00,70.39,70.39,70.38,70.38,400
2020-01-03 10:13:00-05:00,70.33,70.34,70.29,70.3,800
2020-01-03 10:16:00-05:00,70.54,70.54,70.54,70.54,100
2020-01-03 10:30:00-05:00,70.52,70.52,70.52,70.52,100
2020-01-03 10:42:00-05:00,70.63,70.67,70.63,70.67,1400
2020-01-03 10:43:00-05:00,70.66,70.66,70.66,70.66,800
2020-01-03 10:47:00-05:00,70.57,70.57,70.57,70.57,100
2020-01-03 10:51:00-05:00,70.36,70.36,70.339,70.339,250
2020-01-03 10:53:00-05:00,70.369,70.369,70.369,70.369,1400
2020-01-03 11:01:00-05:00,70.28,70.28,70.28,70.28,100
2020-01-03 11:02:00-05:00,70.31,70.31,70.3,70.3,200
2020-01-03 11:49:00-05:00,70.68,70.68,70.68,70.68,100
2020-01-03 11:53:00-05:00,70.72,70.72,70.72,70.72,100
2020-01-03 12:00:00-05:00,70.83,70.83,70.83,70.83,100
2020-01-03 12:05:00-05:00,71.03,71.03,71.03,71.03,100
2020-01-03 12:12:00-05:00,70.94,70.94,70.94,70.94,100
2020-01-03 12:13:00-05:00,70.85,70.85,70.84,70.84,200
2020-01-03 12:17:00-05:00,70.87,70.87,70.87,70.87,800
2020-01-03 12:20:00-05:00,70.88,70.88,70.87,70.87,200
2020-01-03 12:25:00-05:00,70.91,70.91,70.91,70.91,100
2020-01-03 12:27:00-05:00,70.88,70.88,70.88,70.88,100
2020-01-03 12:43:00-05:00,70.97,70.97,70.97,70.97,200
2020-01-03 12:46:00-05:00,70.99,70.99,70.99,70.99,100
2020-01-03 12:49:00-05:00,70.99,70.999,70.99,70.999,425
2020-01-03 12:51:00-05:00,71.04,71.04,71.04,71.04,100
2020-01-03 13:03:00-05:00,70.97,70.97,70.97,70.97,100
2020-01-03 13:25:00-05:00,70.93,70.93,70.93,70.93,200
2020-01-03 13:33:00-05:00,70.9,70.9,70.86,70.86,1570
2020-01-03 13:34:00-05:00,70.79,70.79,70.79,70.79,100
2020-01-03 13:37:00-05:00,70.4,70.4,70.4,70.4,100
2020-01-03 13:38:00-05:00,70.29,70.3,70.29,70.3,500
2020-01-03 13:39:00-05:00,70.48,70.48,70.48,70.48,100
2020-01-03 13:50:00-05:00,70.69,70.69,70.69,70.69,136
2020-01-03 13:57:00-05:00,70.59,70.59,70.59,70.59,100
2020-01-03 14:01:00-05:00,70.72,70.72,70.71,70.72,800
2020-01-03 14:04:00-05:00,70.5,70.5,70.48,70.48,500
2020-01-03 14:07:00-05:00,70.52,70.52,70.52,70.52,100
2020-01-03 14:59:00-05:00,70.83,70.83,70.83,70.83,1600
2020-01-03 15:01:00-05:00,70.84,70.89,70.84,70.89,1600
2020-01-03 15:02:00-05:00,70.89,70.97,70.89,70.97,2062
2020-01-03 15:03:00-05:00,70.97,71.0,70.97,70.98,1800
2020-01-03 15:18:00-05:00,70.7,70.7,70.7,70.7,100
2020-01-03 15:20:00-05:00,70.745,70.745,70.745,70.745,200
2020-01-03 15:23:00-05:00,70.62,70.62,70.62,70.62,100
2020-01-03 15:27:00-05:00,70.56,70.56,70.56,70.56,100
2020-01-03 15:31:00-05:00,70.33,70.33,70.33,70.33,100
2020-01-03 15:38:00-05:00,70.41,70.41,70.4,70.4,200
2020-01-03 15:39:00-05:00,70.36,70.36,70.36,70.36,100
2020-01-03 15:44:00-05:00,70.49,70.5,70.49,70.49,500
2020-01-03 15:45:00-05:00,70.5,70.5,70.48,70.49,900
2020-01-03 15:46:00-05:00,70.49,70.51,70.49,70.51,1900
2020-01-03 15:47:00-05:00,70.5,70.51,70.46,70.46,1800
2020-01-03 15:48:00-05:00,70.45,70.45,70.45,70.45,100
2020-01-03 15:49:00-05:00,70.36,70.42,70.35,70.41,1600
2020-01-03 15:50:00-05:00,70.38,70.5,70.38,70.5,1832
2020-01-03 15:51:00-05:00,70.54,70.58,70.52,70.58,1200
2020-01-03 15:52:00-05:00,70.59,70.7,70.59,70.69,2600
2020-01-03 15:53:00-05:00,70.63,70.65,70.63,70.65,1900
2020-01-03 15:54:00-05:00,70.6,70.6,70.51,70.51,1800
2020-01-03 15:55:00-05:00,70.51,70.57,70.48,70.51,2300
2020-01-03 15:56:00-05:00,70.56,70.56,70.55,70.56,1800
2020-01-03 15:57:00-05:00,70.53,70.53,70.49,70.49,2099
2020-01-03 15:58:00-05:00,70.41,70.5,70.38,70.48,3835
2020-01-03 15:59:00-05:00,70.45,70.56,70.42,70.45,7559
2020-01-06 09:26:00-05:00,69.1,69.1,69.1,69.1,200
2020-01-06 09:30:00-05:00,69.0,69.05,68.93,69.01,4025
2020-01-06 09:31:00-05:00,69.09,69.26,69.09,69.26,1820
2020-01-06 09:32:00-05:00,69.28,69.48,69.28,69.44,925
2020-01-06 09:33:00-05:00,69.43,69.44,69.43,69.44,500
2020-01-06 09:34:00-05:00,69.43,69.46,69.43,69.46,405
2020-01-06 09:35:00-05:00,69.43,69.44,69.41,69.44,930
2020-01-06 09:36:00-05:00,69.5,69.54,69.5,69.54,700
2020-01-06 09:37:00-05:00,69.49,69.49,69.46,69.46,200
2020-01-06 09:38:00-05:00,69.41,69.41,69.32,69.39,500
2020-01-06 09:39:00-05:00,69.47,69.47,69.47,69.47,200
2020-01-06 09:40:00-05:00,69.5,69.52,69.45,69.52,2195
2020-01-06 09:41:00-05:00,69.57,69.58,69.52,69.52,1600
2020-01-06 09:42:00-05:00,69.55,69.55,69.55,69.55,100
2020-01-06 09:45:00-05:00,69.54,69.54,69.54,69.54,100
2020-01-06 09:46:00-05:00,69.68,69.68,69.68,69.68,100
2020-01-06 09:47:00-05:00,69.71,69.72,69.71,69.71,476
2020-01-06 09:48:00-05:00,69.78,69.78,69.78,69.78,200
2020-01-06 09:49:00-05:00,69.72,69.73,69.68,69.7,825
2020-01-06 09:50:00-05:00,69.7,69.71,69.7,69.71,200
2020-01-06 09:51:00-05:00,69.77,69.77,69.77,69.77,350
2020-01-06 09:52:00-05:00,69.75,69.75,69.75,69.75,100
2020-01-06 09:53:00-05:00,69.71,69.71,69.69,69.69,375
2020-01-06 09:54:00-05:00,69.66,69.66,69.66,69.66,100
2020-01-06 09:55:00-05:00,69.5,69.65,69.5,69.65,750
2020-01-06 09:57:00-05:00,69.71,69.73,69.71,69.73,200
2020-01-06 09:58:00-05:00,69.72,69.72,69.72,69.72,148
2020-01-06 10:00:00-05:00,69.69,69.7,69.69,69.7,900
2020-01-06 10:04:00-05:00,69.78,69.78,69.78,69.78,100
2020-01-06 10:07:00-05:00,69.71,69.71,69.69,69.69,468
2020-01-06 10:09:00-05:00,69.73,69.74,69.73,69.74,200
2020-01-06 10:11:00-05:00,69.86,69.86,69.86,69.86,100
2020-01-06 10:13:00-05:00,69.91,69.91,69.91,69.91,100
2020-01-06 10:15:00-05:00,69.9,69.9,69.9,69.9,100
2020-01-06 10:16:00-05:00,69.88,69.89,69.8,69.87,2205
2020-01-06 10:17:00-05:00,69.87,69.87,69.87,69.87,175
2020-01-06 10:19:00-05:00,69.93,69.93,69.93,69.93,181
2020-01-06 10:20:00-05:00,69.93,69.93,69.93,69.93,100
2020-01-06 10:21:00-05:00,69.94,69.98,69.94,69.98,400
2020-01-06 10:22:00-05:00,70.0,70.06,70.0,70.06,600
2020-01-06 10:23:00-05:00,70.02,70.02,69.98,69.98,600
2020-01-06 10:29:00-05:00,70.05,70.05,70.05,70.05,100
2020-01-06 10:30:00-05:00,70.08,70.08,70.08,70.08,100
2020-01-06 10:32:00-05:00,69.97,69.97,69.97,69.97,300
2020-01-06 10:33:00-05:00,69.98,69.98,69.98,69.98,100
2020-01-06 10:36:00-05:00,69.94,69.94,69.94,69.94,100
2020-01-06 10:41:00-05:00,69.98,70.02,69.98,70.02,675
2020-01-06 10:42:00-05:00,70.17,70.17,70.17,70.17,200
2020-01-06 10:43:00-05:00,70.15,70.15,70.15,70.15,100
2020-01-06 10:44:00-05:00,70.23,70.23,70.22,70.22,241
2020-01-06 10:45:00-05:00,70.24,70.24,70.24,70.24,100
2020-01-06 10:46:00-05:00,70.2,70.2,70.2,70.2,100
2020-01-06 10:48:00-05:00,70.25,70.26,70.25,70.26,266
2020-01-06 10:50:00-05:00,70.28,70.28,70.28,70.28,100
2020-01-06 10:55:00-05:00,70.29,70.29,70.29,70.29,100
2020-01-06 10:56:00-05:00,70.23,70.23,70.17,70.17,249
2020-01-06 10:57:00-05:00,70.13,70.13,70.13,70.13,100
2020-01-06 10:59:00-05:00,70.2,70.2,70.14,70.14,2400
2020-01-06 11:01:00-05:00,70.12,70.12,70.12,70.12,175
2020-01-06 11:10:00-05:00,70.24,70.24,70.24,70.24,177
2020-01-06 11:11:00-05:00,70.28,70.28,70.28,70.28,300
2020-01-06 11:13:00-05:00,70.25,70.25,70.22,70.22,200
2020-01-06 11:17:00-05:00,70.29,70.29,70.29,70.29,100
2020-01-06 11:18:00-05:00,70.25,70.25,70.24,70.24,200
2020-01-06 11:19:00-05:00,70.24,70.24,70.24,70.24,100
2020-01-06 11:21:00-05:00,70.26,70.26,70.26,70.26,100
2020-01-06 11:23:00-05:00,70.16,70.17,70.16,70.16,400
2020-01-06 11:28:00-05:00,70.155,70.155,70.15,70.15,400
2020-01-06 11:29:00-05:00,70.14,70.14,70.14,70.14,100
2020-01-06 11:30:00-05:00,70.18,70.18,70.18,70.18,100
2020-01-06 11:34:00-05:00,70.35,70.35,70.35,70.35,200
2020-01-06 11:36:00-05:00,70.25,70.25,70.25,70.25,100
2020-01-06 11:39:00-05:00,70.23,70.23,70.21,70.21,300
2020-01-06 11:42:00-05:00,70.28,70.28,70.28,70.28,100
2020-01-06 11:47:00-05:00,70.2,70.2,70.2,70.2,100
2020-01-06 11:48:00-05:00,70.27,70.27,70.27,70.27,100
2020-01-06 11:49:00-05:00,70.195,70.195,70.19,70.19,300
2020-01-06 11:51:00-05:00,70.15,70.15,70.14,70.14,600
2020-01-06 11:52:00-05:00,70.15,70.15,70.15,70.15,100
2020-01-06 11:56:00-05:00,70.16,70.16,70.16,70.16,100
2020-01-06 11:58:00-05:00,70.19,70.19,70.19,70.19,100
2020-01-06 12:17:00-05:00,70.14,70.14,70.14,70.14,100
2020-01-06 12:25:00-05:00,70.19,70.19,70.19,70.19,175
2020-01-06 12:35:00-05:00,70.22,70.22,70.22,70.22,100
2020-01-06 12:44:00-05:00,70.31,70.31,70.31,70.31,100
2020-01-06 12:48:00-05:00,70.26,70.26,70.26,70.26,137
2020-01-06 12:52:00-05:00,70.19,70.19,70.19,70.19,200
2020-01-06 12:59:00-05:00,70.25,70.25,70.25,70.25,200
2020-01-06 13:00:00-05:00,70.25,70.27,70.25,70.27,449
2020-01-06 13:04:00-05:00,70.31,70.31,70.31,70.31,100
2020-01-06 13:05:00-05:00,70.301,70.301,70.3,70.3,900
2020-01-06 13:06:00-05:00,70.32,70.45,70.32,70.41,4315
2020-01-06 13:07:00-05:00,70.46,70.46,70.44,70.44,400
2020-01-06 13:08:00-05:00,70.45,70.45,70.45,70.45,200
2020-01-06 13:09:00-05:00,70.43,70.43,70.43,70.43,100
2020-01-06 13:14:00-05:00,70.47,70.47,70.47,70.47,100
2020-01-06 13:15:00-05:00,70.47,70.47,70.47,70.47,200
2020-01-06 13:16:00-05:00,70.47,70.47,70.46,70.46,600
2020-01-06 13:18:00-05:00,70.46,70.46,70.46,70.46,200
2020-01-06 13:23:00-05:00,70.44,70.44,70.41,70.41,678
2020-01-06 13:24:00-05:00,70.47,70.48,70.47,70.48,275
2020-01-06 13:25:00-05:00,70.49,70.49,70.49,70.49,200
2020-01-06 13:26:00-05:00,70.49,70.49,70.48,70.48,300
2020-01-06 13:27:00-05:00,70.49,70.49,70.49,70.49,100
2020-01-06 13:28:00-05:00,70.49,70.49,70.48,70.48,201
2020-01-06 13:30:00-05:00,70.51,70.51,70.51,70.51,100
2020-01-06 13:31:00-05:00,70.53,70.53,70.51,70.51,375
2020-01-06 13:32:00-05:00,70.5,70.5,70.5,70.5,101
2020-01-06 13:33:00-05:00,70.48,70.48,70.48,70.48,400
2020-01-06 13:34:00-05:00,70.47,70.47,70.47,70.47,200
2020-01-06 13:36:00-05:00,70.51,70.51,70.51,70.51,100
2020-01-06 13:37:00-05:00,70.5,70.51,70.5,70.51,300
2020-01-06 13:38:00-05:00,70.52,70.52,70.52,70.52,100
2020-01-06 13:39:00-05:00,70.48,70.48,70.48,70.48,200
2020-01-06 13:40:00-05:00,70.5,70.5,70.5,70.5,100
2020-01-06 13:44:00-05:00,70.5,70.5,70.5,70.5,100
2020-01-06 13:45:00-05:00,70.5,70.5,70.5,70.5,100
2020-01-06 13:46:00-05:00,70.51,70.51,70.51,70.51,100
2020-01-06 13:47:00-05:00,70.53,70.55,70.53,70.55,400
2020-01-06 13:49:00-05:00,70.54,70.54,70.53,70.53,200
2020-01-06 13:51:00-05:00,70.51,70.51,70.51,70.51,126
2020-01-06 13:52:00-05:00,70.49,70.51,70.49,70.51,800
2020-01-06 13:54:00-05:00,70.52,70.52,70.51,70.51,400
2020-01-06 13:55:00-05:00,70.48,70.48,70.48,70.48,133
2020-01-06 13:56:00-05:00,70.47,70.48,70.46,70.48,400
2020-01-06 14:00:00-05:00,70.47,70.47,70.41,70.41,600
2020-01-06 14:01:00-05:00,70.38,70.38,70.38,70.38,100
2020-01-06 14:04:00-05:00,70.45,70.45,70.44,70.44,200
2020-01-06 14:05:00-05:00,70.48,70.48,70.48,70.48,100
2020-01-06 14:06:00-05:00,70.51,70.52,70.51,70.52,300
2020-01-06 14:09:00-05:00,70.54,70.54,70.54,70.54,100
2020-01-06 14:10:00-05:00,70.58,70.58,70.58,70.58,100
