date,open,high,low,close,volume
2021-09-20 09:30:00,2.39,3.62,1.965,2.475,-1
2021-09-20 09:31:00,2.475,2.475,2.135,2.22,-1
2021-09-20 09:32:00,2.22,2.3,1.68,2.115,-1
2021-09-20 09:33:00,2.115,2.23,2.115,2.15,-1
2021-09-20 09:34:00,2.15,2.23,2.12,2.185,-1
2021-09-20 09:35:00,2.185,2.185,2.08,2.11,-1
2021-09-20 09:36:00,2.11,2.225,2.1,2.17,-1
2021-09-20 09:37:00,2.17,2.29,2.17,2.21,-1
2021-09-20 09:38:00,2.21,2.25,2.14,2.14,-1
2021-09-20 09:39:00,2.14,2.16,1.995,2.085,-1
2021-09-20 09:40:00,2.085,2.155,2.055,2.06,-1
2021-09-20 09:41:00,2.06,2.105,2.045,2.08,-1
2021-09-20 09:42:00,2.08,2.13,2.065,2.13,-1
2021-09-20 09:43:00,2.13,2.15,2.105,2.15,-1
2021-09-20 09:44:00,2.15,2.15,2.075,2.075,-1
2021-09-20 09:45:00,2.075,2.09,2.035,2.07,-1
2021-09-20 09:46:00,2.07,2.16,2.07,2.14,-1
2021-09-20 09:47:00,2.14,2.18,2.12,2.15,-1
2021-09-20 09:48:00,2.15,2.225,2.11,2.22,-1
2021-09-20 09:49:00,2.22,2.24,2.19,2.19,-1
2021-09-20 09:50:00,2.19,2.25,2.165,2.225,-1
2021-09-20 09:51:00,2.225,2.245,2.195,2.21,-1
2021-09-20 09:52:00,2.21,2.24,2.185,2.22,-1
2021-09-20 09:53:00,2.22,2.3,2.22,2.285,-1
2021-09-20 09:54:00,2.285,2.285,2.21,2.255,-1
2021-09-20 09:55:00,2.255,2.34,2.25,2.31,-1
2021-09-20 09:56:00,2.31,2.4,2.285,2.395,-1
2021-09-20 09:57:00,2.395,2.4,2.33,2.35,-1
2021-09-20 09:58:00,2.35,2.36,2.205,2.23,-1
2021-09-20 09:59:00,2.23,2.26,2.22,2.245,-1
2021-09-20 10:00:00,2.245,2.275,2.2,2.225,-1
2021-09-20 10:01:00,2.225,2.275,2.21,2.245,-1
2021-09-20 10:02:00,2.245,2.275,2.23,2.25,-1
2021-09-20 10:03:00,2.25,2.29,2.19,2.27,-1
2021-09-20 10:04:00,2.27,2.355,2.1,2.325,-1
2021-09-20 10:05:00,2.325,2.6,2.31,2.31,-1
2021-09-20 10:06:00,2.31,2.435,2.305,2.42,-1
2021-09-20 10:07:00,2.42,2.52,2.375,2.445,-1
2021-09-20 10:08:00,2.445,2.495,2.43,2.475,-1
2021-09-20 10:09:00,2.475,2.48,2.43,2.445,-1
2021-09-20 10:10:00,2.445,2.475,2.43,2.465,-1
2021-09-20 10:11:00,2.465,2.51,2.46,2.505,-1
2021-09-20 10:12:00,2.505,2.51,2.425,2.495,-1
2021-09-20 10:13:00,2.495,2.52,2.455,2.515,-1
2021-09-20 10:14:00,2.515,2.525,2.455,2.455,-1
2021-09-20 10:15:00,2.455,2.52,2.455,2.5,-1
2021-09-20 10:16:00,2.5,2.62,2.5,2.61,-1
2021-09-20 10:17:00,2.61,2.675,2.61,2.67,-1
